Time,Phrase,Site,Count
2017-03-22.19:39:25,Notre,http://www.cnn.com/,0
2017-03-22.19:39:25,Cub Scouts,http://www.cnn.com/,0
2017-03-22.19:39:25,CSE30341,http://www.cnn.com/,0
2017-03-22.19:39:25,Operating,http://www.cnn.com/,0
2017-03-22.19:39:25,Systems,http://www.cnn.com/,0
2017-03-22.19:39:25,Striegel,http://www.cnn.com/,0
2017-03-22.19:39:25,Thain,http://www.cnn.com/,0
2017-03-22.19:39:25,Notre,http://www.nd.edu/,130
2017-03-22.19:39:25,Cub Scouts,http://www.nd.edu/,0
2017-03-22.19:39:25,CSE30341,http://www.nd.edu/,0
2017-03-22.19:39:25,Operating,http://www.nd.edu/,0
2017-03-22.19:39:25,Systems,http://www.nd.edu/,0
2017-03-22.19:39:25,Striegel,http://www.nd.edu/,0
2017-03-22.19:39:25,Thain,http://www.nd.edu/,0
